vendor,catalog,description,bin_locations,ai_keywords
FXD,FD8R8,"8"" R8 FLEX DUCT 25' BAG",{22-55-802},"{""8\"" R8 Flex Duct"",""flex duct"",""flexible duct"",""R8 insulation"",""HVAC ducting"",""ducting material"",""25-foot length"",""NEMA type N/A"",""FXD FD8R8"",ductwork,203.2mm,""203.2 mm"",203mm,""203 mm"",20.32cm,""20.32 cm"",20.3cm,""20.3 cm""}"
FXD,FD9R6,9” R6 FLEX DUCT 25' BAG,{22-53-603},"{""9\"" R6 Flex Duct"",""Flexible Duct"",Ducting,""R6 Insulation"",""HVAC Duct"",""25' Flex Duct"",N/A,Polyester,""5 Star Rating"",""NEMA Type N/A""}"
FXD,FD9R8,"9"" R8 FLEX DUCT 25' BAG",{22-55-803},"{""9 inch R8 flex duct"",""flexible ducting"",""insulated duct"",""25 feet flex duct"",N/A,""thermal insulation"",""HVAC parts"",""ducting material"",""FXD duct"",""NEMA compliant"",228.6mm,""228.6 mm"",229mm,""229 mm"",22.86cm,""22.86 cm"",22.9cm,""22.9 cm""}"
FXS,FS1100A112ST6,1 1/2 STRUT STRAP,{23-09-820},"{""1 1/2 STRUT STRAP"",""Strut Strap"",""Strut Support"",FS1100A112ST6,FXS,""Metal Strut Strap"",""Steel Strap"",""Heavy Duty Strut Strap"",NEMA,""Electrical Mounting Hardware"",""6\"""",6,""6 inch"",""6 in""}"
FXS,FS1100A1ST6,1 STRUT STRAP,{23-09-817},"{""1 Strut Strap"",""Strut Strap"",""Strut Support"",FS1100A1ST6,""Metal Strut Strap"",""NEMA Type: Not Applicable"",""Heavy Duty Strut Strap"",""Strut Fastener"",""Steel Strap"",""High Strength Rating"",""6\"""",6,""6 inch"",""6 in""}"
FXS,FS1100A2ST6,2 STRUT STRAP,{23-02-710},"{""2 STRUT STRAP"",""strut strap"",""strut support"",FS1100A2ST6,""metal strut strap"",""steel strap"",NEMA,""mounting hardware"",""light-duty strut"",""support bracket"",""6\"""",6,""6 inch"",""6 in""}"
FXS,FS14RSST,SPRING NUT WITH 1/4 STUD S.S.,{23-02-807},"{""Spring Nut"",""1/4 Stud"",S.S.,""Stainless Steel Spring Nut"",""Fastening Hardware"",NUT,""1/4-20 Stud"",""Spring Lock Nut"",""Corrosion Resistant"",""Rating: High Strength""}"
FXS,FS38RSST316,3/8 SPRING NUT,{23-03-810},"{""3/8 Spring Nut"",""Spring Nut"",FS38RSST316,Fastener,Nut,""Stainless Steel"",""3/8 in Spring Nut"",NEMA,Hardware,""Fastening Component""}"
FXS,FS5022ST6,4H SS6 FLAT TEE PLT,{23-04-702},"{""4H SS6 Flat Tee Plate"",""TEE PLATE"",""Flat Tee Connector"",FS5022ST6,""Stainless Steel Tee"",""4 Hole Tee"",""SS6 Flat Tee"",""NEMA 1 Tee Plate"",""4H Flat Tee"",""Metal Tee Connector""}"
FXS,FS5816SQST6,SQ MOUNT BACK TO BACK POST BASE,{23-09-823},"{""SQ MOUNT BACK TO BACK POST BASE"",""post base"",""mounting base"",""back to back"",""square mount"",""metal post base"",FS5816SQST6,FXS,""structural support"",""NEMA rated""}"
GAR,931B,"THINWALL BENDER 3/4"" EMT 1/2"" RIGID IMC; 1/BOX",{23-00-603},"{""THINWALL BENDER"",""3/4 inch EMT bender"",""1/2 inch Rigid IMC bender"",""Electrical conduit bender"",""EMT bending tool"",""GAR 931B"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAR,GSE310,"SVC ENT STAPLE 13/16"" 100/BOX",{18-57-806},"{""SVC ENT STAPLE"",""Cable Staples"",""Service Entrance Staple"",""Staple for Electrical Wiring"",""13/16 Inch Staple"",""Steel Electrical Staple"",""GAR GSE310"",N/A,""100 Count Box"",""Durable Electrical Fastener"",20.6mm,""20.6 mm"",21mm,""21 mm"",2.06cm,""2.06 cm"",2.1cm,""2.1 cm""}"
GAR,GSE410,"SVC ENT STAPLE 1-1/16"" 100/BOX",{32-16-803},"{""SVC ENT STAPLE"",""Electrical Fasteners"",""Service Entrance Staples"",SVC,Steel,""100 Count"",""NEMA rated"",""Staples for wiring"",""1-1/16 inch staple"",27mm,""27 mm"",2.7cm,""2.7 cm"",1.6mm,""1.6 mm"",2mm,""2 mm"",0.16cm,""0.16 cm"",0.2cm,""0.2 cm""}"
GAR,GSW31,NICKEL PULL SWITCH SPST 6A 125VAC O/F,{23-02-508},"{""Nickel Pull Switch"",""SPST Switch"",""Single Pole Single Throw"",""6A 125VAC Switch"",""NEMA Type"",""On/Off Switch"",""Electrical Switch"",""Gar Switch"",""Pull Chain Switch"",""Durable Electrical Component""}"
GAR,GSW48,LIGHTED MINI SPST 10A 125VAC O/F,{23-02-505},"{""Lighted Mini SPST Switch"",""SPST Switch"",""Single Pole Single Throw Switch"",""Miniature Lighted Switch"",""10A 125VAC Switch"",""On/Off Switch"",""Electrical Switch"",""GAR GSW48"",""NEMA type 1"",""Electrical Control Device""}"
GAR,GSW49,ROCKER SPST RED LIGHTED 10A 277VAC,{18-54-807},"{""ROCKER SPST SWITCH"",""lighted rocker switch"",""single pole single throw switch"",""10A 277VAC switch"",""GAR GSW49"",""electrical switch"",""NEMA type switch"",""red light switch"",""high voltage rocker switch"",""AC rocker switch""}"
GAR,KD500B,DIE 22MM,{23-00-613},"{""DIE 22MM"",""GAR KD500B"",""die electrical component"",""die tool"",""diameter 22mm"",""metal die"",""electrical part"",""rated for high voltage"",""NEMA compliant"",""0.866 inch"",""0.866\""""}"
GAR,LNW1000,"LOCKNUT WRENCH 1""",{23-03-601},"{""LOCKNUT WRENCH 1\"""",""locknut wrench"",""1 inch locknut wrench"",""LN WRENCH"",metal,""high rating"",""hand tool"",""lock nut wrench"",""wrench for locknuts"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
GAR,LNW750,"LOCKNUT WRENCH 3/4""",{32-04-605},"{""Locknut Wrench 3/4\"""",""Locknut Tool"",""NEMA Locknut Wrench"",""3/4 inch Locknut Wrench"",""Locknut Wrench GAR"",""Electrician Tools"",""Locknut Tooling"",""Wrench for Locknuts"",""GAR LNW750"",""Locknut Wrench"",19.1mm,""19.1 mm"",19mm,""19 mm"",1.91cm,""1.91 cm"",1.9cm,""1.9 cm""}"
GAR,MCS20W,SNAPSHOT MULTICABLE STAPLE 20/BAG,{16-21-803},"{""SNAPSHOT MULTICABLE STAPLE"",""cable staple"",""multicable fastener"",MCS20W,""cable fastening"",""metal staple"",""20 pack"",""GAR electrical supply"",""NEMA rated"",""wire staple""}"
GAR,MS150,"METAL STAPLE 2 COND 1/2"" 100/BOX",{19-02-802},"{""Metal Staple"",""Electrical Fasteners"",""Cable Staple"",""Wire Staple"",MS150,""2 Cond"",""1/2 Inch"",""100 per Box"",""N/A Material"",""N/A Ratings"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAR,MS550,"METAL STAPLE 2 COND 1/2"" 500/BOX",{15-25-808},"{""METAL STAPLE"",""Metal Staple 2 Cond 1/2\"""",""Electrical Staples"",""2 Condition Staple"",""Wire Staple"",N/A,Steel,500/BOX,GAR,MS550,12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAR,MS950BU,"METAL STAPLE 2 COND 1/2"" 10000/BUCKET",{17-26-902},"{""Metal Staple"",Staples,""Electrical Fasteners"",MS950BU,""2 Conductor"",""1/2 inch"",""10000 per bucket"",Metal,GAR,N/A,12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAR,MSI950B,"INSULATED STAPLE 1/2"" 4000/BUCKET",{16-21-901},"{""Insulated Staple"",""Electrical Fasteners"",""Wire Staple"",""IS 1/2 inch"",""Insulating Material"",""Heavy Duty"",""NEMA Ratings"",""BUCKET 4000 Count"",""Electrical Staples"",MSI950B,12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAR,WSP100E,WIRE SPOOL HAND CADDY,{15-26-603},"{""WIRE SPOOL HAND CADDY"",""wire spool caddy"",""hand caddy"",WSP100E,""GAR WIRE SPOOL"",""wire handling equipment"",""portable wire caddy"",""NEMA rated caddy"",""wire organization"",""wire management""}"
GAS,0L78,"2-1/2"" & 3"" FORM 5 CONDUIT BODY GASKET",{18-03-706},"{""2-1/2 inch conduit body gasket"",""3 inch conduit body gasket"",""FORM 5 gasket"",""conduit accessories"",""gasket material"",""water-resistant gasket"",""NEMA rated gasket"",""conduit sealing"",""electrical conduit gasket"",""GAS conduit body products"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm"",""7/8\"""",7/8,""7/8 inch"",""7/8 in"",""0.875\""""}"
GAS,0L90,"3-1/2"" & 4"" FORM 5 CONDUIT BODY GASKET",{18-03-707},"{""3-1/2\"" FORM 5 conduit body gasket"",""4\"" FORM 5 conduit body gasket"",""conduit body gasket"",""gasket for conduit body"",""gas conduit body gasket"",""NEMA Conduit gasket"",""weatherproof conduit gasket"",""oil-resistant gasket material"",""rubber gasket"",""GAS 0L90 gasket"",88.9mm,""88.9 mm"",89mm,""89 mm"",8.89cm,""8.89 cm"",8.9cm,""8.9 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
GAS,GASK015N,"1/2"" FORM 5 CONDUIT BODY GASKET",{18-03-701},"{""1/2 inch conduit body gasket"",""form 5 conduit gasket"",""conduit gasket"",""GAS GASK015N"",""half inch conduit body seal"",""NEMA FB conduit fitting"",""weather-resistant gasket"",""rubber conduit gasket"",""electrical conduit accessory"",""electrical seal"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAS,GASK025N,3/4 SR5 CNDT BD GSKT,{50-01-904},"{""3/4 SR5 conduit body gasket"",""conduit body gasket"",""CNDT BD GSKT"",""gasket for conduit body"",""NEMA rated gasket"",""rubber gasket"",""electrical conduit accessory"",""GAS gasket"",""weatherproof gasket"",""UL listed gasket""}"
GAS,GASK035N,"1"" FORM 5 CONDUIT BODY GASKET","{50-02-907,50-02-908}","{""1\"" FORM 5 CONDUIT BODY GASKET"",GASK035N,""conduit gasket"",""conduit body gasket"",""NEMA rated gasket"",""gasket for conduit"",""conduit fitting seal"",""waterproof conduit gasket"",""moisture-resistant gasket"",""non-metallic gasket"",25.4mm,""25.4 mm"",25mm,""25 mm"",2.54cm,""2.54 cm"",2.5cm,""2.5 cm""}"
GAS,GASK045N,"1-1/4"" & 1-1/2"" FORM 5 CONDUIT BODY GASKET",{18-03-704},"{""1-1/4 inch conduit body gasket"",""1-1/2 inch conduit body gasket"",""FORM 5 gasket"",""conduit gasket"",""GAS GASK045N"",""electrical conduit accessory"",""rubber gasket material"",""NEMA type unspecified"",""heavy-duty conduit seal"",""waterproof gasket"",31.8mm,""31.8 mm"",32mm,""32 mm"",3.18cm,""3.18 cm"",3.2cm,""3.2 cm"",38.1mm,""38.1 mm"",38mm,""38 mm"",3.81cm,""3.81 cm"",3.8cm,""3.8 cm"",6.4mm,""6.4 mm"",6mm,""6 mm"",0.64cm,""0.64 cm"",0.6cm,""0.6 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm""}"
GAS,GASK065N,"2"" FORM 5 CONDUIT BODY GASKET",{18-03-705},"{""2 inch conduit body gasket"",""Form 5 gasket"",""conduit fittings"",""conduit body gasket"",""GAS GASK065N"",""rubber gasket"",""NEMA rated gasket"",""electrical conduit access"",""waterproof conduit seal"",""conduit body seal"",50.8mm,""50.8 mm"",51mm,""51 mm"",5.08cm,""5.08 cm"",5.1cm,""5.1 cm""}"
GAS,GASK571,1/2 FM7 GSKT,{18-03-801},"{""1/2 FM7 GSKT"",""gas gasket"",""FM7 gasket"",""flexible metal gasket"",""metal gasket"",""NEMA gasket"",""gasket material"",""high-temperature gasket"",""oil-resistant gasket"",""GAS GASK571""}"
GAS,GASK572,3/4 FM7 GSKT,{18-03-802},"{""3/4 FM7 GSKT"",gasket,""sealing gasket"",""FM7 gasket"",""Gas gasket"",""3/4 inch gasket"",""rubber gasket"",""NEMA compliant gasket"",""weatherproofing gasket"",""mechanical seal""}"
GAS,GASK573,1 FM7 GSKT,{18-03-803},"{""1 FM7 GSKT"",gasket,FM7,""filler material 7"",rubber,high-performance,NEMA,gasketing,""sealing solution""}"
GAS,GASK574,1-1/4 FM7 GSKT,{18-03-804},"{""1-1/4 FM7 GSKT"",gasket,seal,""gasket 1.25 inch"",""FM7 gasket"",""rubber gasket"",""0.125 inch thickness gasket"",""NEMA gasket"",""waterproof gasket"",""rated for outdoor use""}"
GAS,GASK575,1-1/2 FM7 GSKT,{18-03-805},"{""1-1/2 FM7 GSKT"",gasket,seal,""FM7 gasket"",""full material rubber"",""NEMA rated"",""high temperature gasket"",""heavy-duty seal"",GAS,GASK575}"
GAS,GASK576,2 FM7 GSKT,{18-03-806},"{""2 FM7 GSKT"",""GAS GASK576"",gasket,""FM7 gasket"",""sealing gasket"",""rubber gasket"",NEMA,""gasket material"",""industrial gasket"",""gasket ratings""}"
GAS,GASK578,"2-1/2"" & 3"" FORM 7 CONDUIT BODY GASKET",{18-03-807},"{""2-1/2 inch conduit body gasket"",""3 inch conduit body gasket"",""Form 7 gasket"",""conduit body seal"",""gasket for conduit"",""GAS GASK578"",""electrical conduit accessory"",""NEMA rated gasket"",""weatherproof conduit gasket"",""high-quality gasket material"",63.5mm,""63.5 mm"",64mm,""64 mm"",6.35cm,""6.35 cm"",6.4cm,""6.4 cm"",12.7mm,""12.7 mm"",13mm,""13 mm"",1.27cm,""1.27 cm"",1.3cm,""1.3 cm"",76.2mm,""76.2 mm"",76mm,""76 mm"",7.62cm,""7.62 cm"",7.6cm,""7.6 cm""}"
GAT,240L,"PRO ELECTRICIAN'S TOOL BELT COMBO - LG 37"" - 42""",{15-28-901},"{""Pro Electrician's Tool Belt Combo"",""Tool Belt"",""Electrician's Tool Belt"",""Tool Belt Combo"",""Heavy-Duty Tool Belt"",""GAT Tool Belt"",N/A,N/A,N/A,N/A}"
GAT,240M,"PRO ELECTRICIAN'S TOOL BELT COMBO - MD 32"" - 37""",{15-40-804},"{""Pro Electrician's Tool Belt Combo"",""Tool Belt"",""Tool Pouch"",""Electrical Tool Belt"",""GAT 240M"",""Medium Tool Belt"",""Adjustable Tool Belt"",""Cordura Material"",""Durable Work Gear"",""Heavy-Duty Tool Carrier"",""787.4 ft"",""787.4 feet"",""787 ft"",""787 feet""}"
GAT,240XL,"PRO ELECTRICIAN'S TOOL BELT COMBO - XL 42"" - 47""",{15-40-901},"{""Pro Electrician's Tool Belt Combo"",""Tool Belt"",""Electrician Tool Belt"",""XL Tool Belt"",""Tool Wear"",""Professional Tool Belt"",""GAT 240XL"",""Heavy Duty Tool Belt"",""Adjustable Tool Belt"",""42-47 inch Tool Belt""}"
GAT,B240S,"PRO ELECTRICIAN'S TOOL BELT COMBO - SM 28"" - 32""",{19-63-606},"{""Pro Electrician's Tool Belt Combo"",""Tool Belt"",""Electrician's Tool Belt"",""Tool Belt Combo"",""GAT B240S"",""Adjustable Tool Belt"",""Small Tool Belt 28\"" - 32\"""",""Professional Tool Belt"",""Work Gear"",""Heavy Duty Fabric""}"
GAT,B606,MOLDED AIR-CHANNEL SUSPENDERS,{15-23-808},"{""MOLDED AIR-CHANNEL SUSPENDERS"",Suspenders,""Molded Suspenders"",""Suspension System"",""Electrical Supports"",""NEMA rated suspenders"",""Durable Suspenders"",""Heavy-duty suspenders"",""GAT suspension parts""}"
GBL,2028,4MFD 370/440V OVAL CAPACITOR,{22-60-517},"{""4MFD 370/440V OVAL CAPACITOR"",capacitor,""capacitor oval"",""MFD capacitor"",""370V capacitor"",""440V capacitor"",""oval design capacitor"",""GBL capacitor"",""CBB capacitor"",""electrolytic capacitor""}"
GBL,2029,5MFD 370/440V OVAL CAPACITOR,{22-60-604},"{""5MFD Oval Capacitor"",Capacitor,""Capacitor 5 Microfarad"",""370V Capacitor"",""440V Capacitor"",""NEMA Capacitor Type"",""Electrolytic Capacitor"",""Electrical Capacitor"",""370/440V Rating"",""GBL Capacitor""}"
GBL,2033,12.5MFD 370/440V OVAL CAPACITOR,{22-60-507},"{""12.5MFD capacitor"",""370V capacitor"",""440V capacitor"",""oval capacitor"",""electrical capacitor"",""capacitor 12.5MFD"",""NEMA capacitor type"",""high voltage capacitor"",""GBL capacitor"",""capacitor for HVAC""}"
GBL,2052,55MFD 370/440V OVAL CAPACITOR,{22-60-802},"{""55MFD 370/440V OVAL CAPACITOR"",capacitor,""oval capacitor"",""55 microfarad capacitor"",""capacitor 370V"",""capacitor 440V"",""GBL capacitors"",""NEMA type capacitor"",""electrical capacitor"",""capacitor ratings""}"
GBL,2252,4MFD 370/440V ROUND CAPACITOR,{22-60-701},"{""4MFD capacitor"",""round capacitor"",""370V capacitor"",""440V capacitor"",""GBL capacitor"",""motor capacitor"",""electrical capacitor"",""NEMA capacitor"",""rated 4MFD"",""capacitor 370/440V""}"
GBL,2255,7.5MFD 370/440V ROUND CAPACITOR,{22-60-613},"{""7.5MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""capacitor 7.5 microfarads"",""electrical capacitor"",""high voltage capacitor"",""GBL capacitor"",""NEMA rated capacitor"",""capacitor for motor start""}"
GBL,2265,45MFD 370/440V ROUND CAPACITOR,{16-39-601},"{""45MFD capacitor"",""370V round capacitor"",""440V capacitor"",""45 microfarad capacitor"",""round capacitor"",""capacitor 45MFD"",""electrical capacitor"",""capacitor NEMA"",""capacitor ratings"",""GBL capacitor""}"
GBL,2271,25/5MFD 370/440V ROUND CAPACITOR,{22-60-502},"{""25/5MFD Capacitor"",""370/440V Capacitor"",""Round Capacitor"",""Motor Start Capacitor"",""Capacitor NEMA type"",""Electrolytic Capacitor"",""Capacitance 25/5 μF"",""Voltage Rating 370/440V"",""GBL Capacitor"",""Capacitance Rating""}"
GBL,2295,65MFD 370/440V ROUND CAPACITOR,{22-60-607},"{""65MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""motor capacitor"",""capacitor 65µF"",""NEMA capacitor"",""GBL capacitor"",""electrolytic capacitor"",""round AC capacitor""}"
GBL,2299B,60MFD 370/440V ROUND CAPACITOR,{22-60-711},"{""60MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""electrical capacitor"",""capacitor 60 microfarads"",""NEMA rated capacitor"",""aluminum capacitor"",""high voltage capacitor""}"
GBL,8068,AC DISCONNECT 60 AMP MOLDED CASE SWITCH DPB222R,{23-00-719},"{""AC Disconnect"",""60 Amp Molded Case Switch"",DPB222R,""Disconnect Switch"",""Molded Case Circuit Breaker"",""Electrical Switches"",""NEMA Rated"",""DPB Series"",""60A Disconnect"",""GBL Disconnects""}"
GBL,AXFC11,AUX CONTACT 20-90 AMP NOARK CONTACTORS SCREW CONNE,{33-22-703},"{""Auxiliary Contact"",""Noark Contactors"",AXFC11,""20-90 Amp Contact"",""Screw Connection"",""Electrical Accessories"",""NEMA Rated"",""Aux Contact"",""Contact Block"",GBL}"
GBL,AXFC11Q,AUX CONTACT 20-90 AMP NOARK CONTACTORS QUICK CONNE,{16-39-801},"{""AUXILIARY CONTACT"",""NOARK CONTACTORS"",AXFC11Q,""20-90 AMP"",""Quick Connect"",""Electrical Parts"",""Contact Type"",""NEMA Rated"",""Relay Accessory"",""Contact Expansion""}"
GBL,N4105,2P 120V 25A W/LUGS & QUAD QC CONTACTOR,{22-60-808},"{""2P contactor"",""dual pole 120V contactor"",""25A contactor with lugs"",""quad QC contactor"",""N4105 GBL contactor"",""electrical switch"",""AC contactor"",""NEMA rated"",""25 amp switch"",""electrical components""}"
GBL,N4106,2P 208/240V 25A W/LUGS & QUAD QC CONTACTOR,{22-60-708},"{""2P 208/240V 25A contactor"",""contactor with lugs"",N4106,""quad QC contactor"",""electrical contactor"",""GBL electrical parts"",""contact rating 25A"",""NEMA type contactor"",""AC contactor"",""circuit switching device""}"
GBL,N4109,2P 208/240V 30A W/LUGS & QUAD QC CONTACTOR,{22-60-805},"{""2P 208/240V 30A contactor"",contactors,""two pole contactor"",""30 amp contactor"",""Quad QC contactor"",""NEMA rated contactor"",""electrical contractor"",""contactors with lugs"",""high performance contactor"",""GBL N4109""}"
GBL,N4113,3P 24V 30A W/LUGS CONTACTOR,{22-60-514},"{""3P Contactor"",""24V Contactors"",""30A Contactor"",""Contactor with Lugs"",""Power Relay"",""Electrical Relay"",""NEMA Type 3R"",""GBL N4113"",""30 Amp Relay"",""3 Pole Contactors""}"
GBL,N4115,3P 208/240V 30A W/LUGS CONTACTOR,{22-60-505},"{""3P 208/240V 30A Contactor"",""Electrical Contactor"",""Contactor with Lugs"",""NEMA type"",""30A Contactor"",""3 Phase Contactor"",""GBL Contactors"",""Electrical Switch"",""Copper Lugs"",""30 Amp Electrical Part""}"
GBL,N4129,3P 120V 50A W/LUGS CONTACTOR,{22-60-710},"{""3P 120V 50A Contactor"",Contactors,""three phase contactor"",""50 Amp contactor"",""120 Volt contactor"",""heavy duty relay"",""NEMA type"",""electrical lugs"",""rated for high load"",""GBL N4129""}"
GBL,N4135,3P 120V 75A W/LUGS CONTACTOR,{22-60-801},"{""3P 120V 75A Contactor"",Contactor,""3 Pole Contactor"",""Three Phase Contactor"",""Electrical Contactor"",""Contactor with Lugs"",""NEMA Rated Contactor"",""75A Contactor"",""GBL Contactor"",""Power Contact Switch""}"
GBL,N4136,3P 240V 75A W/LUGS CONTACTOR,{22-60-706},"{""3P 240V Contactor"",""75A Contactor"",""3 Pole Contactor"",""Electrical Contactor"",""Contactor with Lugs"",""NEMA Rated Contactor"",""GBL Contactor"",""Heavy Duty Contactor"",""AC Contactor"",""Contactor Switch""}"
GBL,TURB0LYTIC50,UNIVERSAL MOTOR-START CAPACITOR CAP,{22-41-705},"{""UNIVERSAL MOTOR-START CAPACITOR"",""motor-start capacitor"",""start capacitor"",""UMS capacitor"",""electrical capacitor"",""50µF capacitor"",""NEMA-rated capacitor"",""capacitor for motors"",""rated for 370V"",""GBL TURB0LYTIC50""}"
GBL,TURB0LYTICJR,UNIVERSAL MOTOR-START CAPACITOR CAP JR,{22-41-703},"{""UNIVERSAL MOTOR-START CAPACITOR"",""motor-start capacitor"",""start capacitor"",""capacitor JR"",""NEMA capacitor"",""electrical component"",ratings,GBL,""non-polarized capacitor"",TURB0LYTICJR}"
GBL,USA2204,5MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-503},"{""5MFD Capacitor"",""370V Capacitor"",""440V Capacitor"",""Round Capacitor"",""USA Made Capacitor"",""Motor Run Capacitor"",""Capacitance 5 Microfarads"",""NEMA Capacitor Type"",""Electrical Capacitor"",""Electrolytic Capacitor""}"
GBL,USA2211,20MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-512},"{""20MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""USA made capacitor"",""electrical capacitor"",""motor run capacitor"",""NEMA type capacitor"",""metallized polypropylene capacitor"",""high voltage capacitor""}"
GBL,USA2218BA,55/10MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-606},"{""55 MFD capacitor"",""10 MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""USA made capacitor"",""GBL USA2218BA"",""motor run capacitor"",""electrical capacitance"",""NEMA rated capacitor""}"
GBL,USA2221BA,60/10MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-810},"{""60 MFD capacitor"",""10 MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""USA made capacitor"",""capacitor for motors"",""GBC USA2221BA"",""electrolytic capacitor"",""NEMA capacitor""}"
GBL,USA2226,30/5MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-608},"{""30/5 MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""USA made capacitor"",""electrical capacitor"",""capacitor for HVAC"",""NEMA capacitor"",""multi-capacitance capacitor""}"
GBL,USA2232,40/7.5MFD 370/440V ROUND USA MADE CAPACITOR,{22-60-602},"{""40 MFD capacitor"",""7.5 MFD capacitor"",""370V capacitor"",""440V capacitor"",""round capacitor"",""USA made capacitor"",""capacitor for motor"",""NEMA rated capacitor"",""electrolytic capacitor"",""GBL capacitor USA2232""}"
GBL,USA2238,50/7.5 MFD 370/440V ROUND RUN CAPACITOR,{33-23-805},"{""50 MFD run capacitor"",""7.5 MFD round capacitor"",""370V run capacitor"",""440V round capacitor"",capacitor,""motor capacitor"",""NEMA rated capacitor"",""GBL USA2238"",""electrical capacitor"",""round capacitor""}"
GDR,1CB0804,"8""X4"" 1 WAY CURVED BLADE REGISTER",{22-50-802},"{""8 inch x 4 inch curved blade register"",""1 way register"",""air register"",""HVAC register"",""metal register"",""GDR register"",1CB0804,""NEMA type not applicable"",""high airflow register"",""adjustable air vent"",203.2mm,""203.2 mm"",203mm,""203 mm"",20.32cm,""20.32 cm"",20.3cm,""20.3 cm"",101.6mm,""101.6 mm"",102mm,""102 mm"",10.16cm,""10.16 cm"",10.2cm,""10.2 cm""}"
GDR,1CB1006,"10""X6"" 1 WAY CURVED BLADE REGISTER",{22-50-803},"{""10 inch x 6 inch curved blade register"",""HVAC register"",""1 way register"",""air vent cover"",""curved blade grille"",""GDR 1CB1006"",""NEMA rated register"",""aluminum register"",""duct accessories"",""air distribution component"",254mm,""254 mm"",25.4cm,""25.4 cm"",152.4mm,""152.4 mm"",152mm,""152 mm"",15.24cm,""15.24 cm"",15.2cm,""15.2 cm""}"
GDR,1CB1008,"10""X8"" 1 WAY CURVED BLADE REGISTER",{22-50-804},"{""10 inch curved blade register"",""1 way air register"",""HVAC register"",""GDR 1CB1008"",""curved blade grille"",""air ventilation supply"",""metal register"",""NEMA type not applicable"",""home heating accessory"",""duct register"",254mm,""254 mm"",25.4cm,""25.4 cm"",203.2mm,""203.2 mm"",203mm,""203 mm"",20.32cm,""20.32 cm"",20.3cm,""20.3 cm""}"
GDR,1CB1206,"12""X6"" 1 WAY CURVED BLADE REGISTER",{22-50-803},"{""12 inch x 6 inch curved blade register"",""air register"",""vent cover"",""1 way register"",""HVAC register"",""metal register"",""GDR 1CB1206"",""NEMA type 1"",""high airflow register"",""duct accessory"",304.8mm,""304.8 mm"",305mm,""305 mm"",30.48cm,""30.48 cm"",30.5cm,""30.5 cm"",152.4mm,""152.4 mm"",152mm,""152 mm"",15.24cm,""15.24 cm"",15.2cm,""15.2 cm""}"
GDR,1CB1208,"12""X8"" 1 WAY CURVED BLADE REGISTER",{22-50-801},"{""12 inch x 8 inch curved blade register"",""curved blade register"",""air register"",""HVAC register"",""GDR curved blade register"",N/A,""metal register"",""NEMA type N/A"",""HVAC supply"",""1 way register"",304.8mm,""304.8 mm"",305mm,""305 mm"",30.48cm,""30.48 cm"",30.5cm,""30.5 cm"",203.2mm,""203.2 mm"",203mm,""203 mm"",20.32cm,""20.32 cm"",20.3cm,""20.3 cm""}"
